code,description,category,targetType,targetValue,discountType,amount,buyQuantity,getQuantity,priority,exclusivityGroup,active
MMPNUT_KS_2FOR,Buy 2 Save $1.38 M&M Peanut King Size,PROMOTIONAL,UPC,040000004325,FIXED_AMOUNT_OFF,1.38,2,,1,,true
MMPLAIN_KS_2FOR,Buy 2 Save $1.38 M&M Milk Chocolate King Size,PROMOTIONAL,UPC,040000004318,FIXED_AMOUNT_OFF,1.38,2,,1,,true
SKITTLES_KS_25,25% Off Skittles Bite Size King Size,PROMOTIONAL,UPC,040000004608,PERCENT_OFF,25,,,1,,true
HRSHY_MILK_KS_2FOR,Buy 2 Save $1.38 Hershey Milk King Size,PROMOTIONAL,UPC,034000002207,FIXED_AMOUNT_OFF,1.38,2,,1,,true
BLOWPOP_B4G1,Buy 4 Get 1 Charms Blow Pop,PROMOTIONAL,UPC,014200000692,PROMO,,4,1,1,,true
LAYS_REG_B2G1,Buy 2 Get 1 Lays Regular,PROMOTIONAL,UPC,028400323826,PROMO,,2,1,1,,true
DORITOS_NCH_B2G1,Buy 2 Get 1 Doritos Nacho,PROMOTIONAL,UPC,028400325059,PROMO,,2,1,1,,true
CHEETOS_CRN_2FOR,Buy 2 Save $0.98 Cheetos Crunchy,PROMOTIONAL,UPC,028400329484,FIXED_AMOUNT_OFF,0.98,2,,1,,true
FUNYUNS_2FOR,Buy 2 Save $0.98 Funyuns 2.125oz,PROMOTIONAL,UPC,028400331609,FIXED_AMOUNT_OFF,0.98,2,,1,,true
TAKIS_FUEGO_20,20% Off Takis Fuego,PROMOTIONAL,UPC,757528008680,PERCENT_OFF,20,,,1,,true
RUFFLES_CH_30OFF,$0.30 Off Ruffles Cheddar 2.5oz,PROMOTIONAL,UPC,028400324427,FIXED_AMOUNT_OFF,0.30,,,1,,true
FRITOS_35Z_2FOR,Buy 2 Save $0.98 Fritos 3.5oz,PROMOTIONAL,UPC,028400327305,FIXED_AMOUNT_OFF,0.98,2,,1,,true
SLIMJIM_GNT_B3G1,Buy 3 Get 1 Slim Jim Giant Stick,PROMOTIONAL,UPC,026200117003,PROMO,,3,1,1,,true
CK_SNACKSTK_2FOR,Buy 2 Save $1.00 Circle K Snack Stick Mild,PROMOTIONAL,UPC,194283101896,FIXED_AMOUNT_OFF,1.00,2,,1,,true
SARGENTO_STK_B2G1,Buy 2 Get 1 Sargento String Cheese,PROMOTIONAL,UPC,046100007006,PROMO,,2,1,1,,true
HOTDOG_PREM_BOGO,BOGO Premium Sausage Hot Dog,PROMOTIONAL,UPC,999999955678,PROMO,,1,1,1,,true
HOTDOG_REG_B2G1,Buy 2 Get 1 Regular Hot Dog,PROMOTIONAL,UPC,072554218606,PROMO,,2,1,1,,true
TORNADO_B2G1,Buy 2 Get 1 Tornado,PROMOTIONAL,UPC,999999371980,PROMO,,2,1,1,,true
DONUT_B3G1,Buy 3 Get 1 Donut With Hole,PROMOTIONAL,UPC,999999235275,PROMO,,3,1,1,,true
PIZZA_SLICE_2FOR,Buy 2 Save $1.00 Pizza Slice,PROMOTIONAL,UPC,999995306931,FIXED_AMOUNT_OFF,1.00,2,,1,,true
BRKFST_CROIS_50,$0.50 Off Sausage Egg and Cheese Croissant,PROMOTIONAL,UPC,194283990285,FIXED_AMOUNT_OFF,0.50,,,1,,true
BRKFST_BISC_50,$0.50 Off Sausage Egg and Cheese Biscuit,PROMOTIONAL,UPC,194283990261,FIXED_AMOUNT_OFF,0.50,,,1,,true
CHKN_BITES_20,20% Off Circle K Crispy Chicken Bites,PROMOTIONAL,UPC,194283990858,PERCENT_OFF,20,,,1,,true
CHZBURGER_100OFF,$1.00 Off Chargrilled Cheeseburger,PROMOTIONAL,UPC,194283990384,FIXED_AMOUNT_OFF,1.00,,,1,,true
POLARPOP_LG_B5G1,Buy 5 Get 1 Polar Pop Large,PROMOTIONAL,UPC,041594899038,PROMO,,5,1,1,,true
POLARPOP_30Z_B5G1,Buy 5 Get 1 Polar Pop 30oz,PROMOTIONAL,UPC,028400516310,PROMO,,5,1,1,,true
COFFEE_MED_B5G1,Buy 5 Get 1 Medium Coffee,PROMOTIONAL,UPC,999991218955,PROMO,,5,1,1,,true
COFFEE_LG_30OFF,$0.30 Off Large Coffee 20oz,PROMOTIONAL,UPC,999991218948,FIXED_AMOUNT_OFF,0.30,,,1,,true
FROSTER_LG_B4G1,Buy 4 Get 1 Froster Large 32oz,PROMOTIONAL,UPC,689048010495,PROMO,,4,1,1,,true
FROSTER_SM_25OFF,$0.25 Off Froster Small,PROMOTIONAL,UPC,049000009774,FIXED_AMOUNT_OFF,0.25,,,1,,true
ICE_5LB_B2G1,Buy 2 Get 1 Ice Bag Arctic Glacier 5lb,PROMOTIONAL,UPC,074608352052,PROMO,,2,1,1,,true
ICE_10LB_100OFF,$1.00 Off 10lb Ice Bag,PROMOTIONAL,UPC,080660957159,FIXED_AMOUNT_OFF,1.00,,,1,,true
LIGHTER_MINI_B2G1,Buy 2 Get 1 Circle K Bic Mini Lighter,PROMOTIONAL,UPC,070330665293,PROMO,,2,1,1,,true
LIGHTER_MAXI_50OFF,$0.50 Off Circle K Bic Maxi Lighter,PROMOTIONAL,UPC,070330667136,FIXED_AMOUNT_OFF,0.50,,,1,,true
BUDLT_24Z_2FOR,Buy 2 Save $1.00 Bud Light 24oz,PROMOTIONAL,UPC,018200250019,FIXED_AMOUNT_OFF,1.00,2,,1,ALCOHOL_PROMO,false
MODELO_24Z_2FOR,Buy 2 Save $1.00 Modelo Especial 24oz,PROMOTIONAL,UPC,080660957210,FIXED_AMOUNT_OFF,1.00,2,,1,ALCOHOL_PROMO,false
COORS_12PK_200OFF,$2.00 Off Coors Light 12pk Cans,PROMOTIONAL,UPC,071990000486,FIXED_AMOUNT_OFF,2.00,,,1,ALCOHOL_PROMO,false
TWSTDTEA_12PK_200,$2.00 Off Twisted Tea Original 12pk,PROMOTIONAL,UPC,087692831341,FIXED_AMOUNT_OFF,2.00,,,1,ALCOHOL_PROMO,false
WHTCLW_192_50OFF,$0.50 Off White Claw Black Cherry 19.2oz,PROMOTIONAL,UPC,635985801986,FIXED_AMOUNT_OFF,0.50,,,1,ALCOHOL_PROMO,false
MARL_KG_2PK_200,Buy 2 Save $2.00 Marlboro King Box,PROMOTIONAL,UPC,028200003577,FIXED_AMOUNT_OFF,2.00,2,,1,TOBACCO_PROMO,false
MARL_GOLD_2PK_150,Buy 2 Save $1.50 Marlboro Gold,PROMOTIONAL,UPC,028200003843,FIXED_AMOUNT_OFF,1.50,2,,1,TOBACCO_PROMO,false
NEWPORT_MN_2PK_150,Buy 2 Save $1.50 Newport Menthol,PROMOTIONAL,UPC,026100005752,FIXED_AMOUNT_OFF,1.50,2,,1,TOBACCO_PROMO,false
ZYN_CM_2CAN_200,Buy 2 Save $2.00 ZYN Cool Mint 6mg,PROMOTIONAL,UPC,609249900036,FIXED_AMOUNT_OFF,2.00,2,,1,TOBACCO_PROMO,false
ZYN_WG_2CAN_200,Buy 2 Save $2.00 ZYN Wintergreen 6mg,PROMOTIONAL,UPC,609249903020,FIXED_AMOUNT_OFF,2.00,2,,1,TOBACCO_PROMO,false
ON_MINT_2CAN_100,Buy 2 Save $1.00 ON! Mint 4mg,PROMOTIONAL,UPC,855022005249,FIXED_AMOUNT_OFF,1.00,2,,1,TOBACCO_PROMO,false
COPEN_FC_2CAN_100,Buy 2 Save $1.00 Copenhagen FC Snuff,PROMOTIONAL,UPC,073100001079,FIXED_AMOUNT_OFF,1.00,2,,1,TOBACCO_PROMO,false
GRIZZLY_WG_2CAN_150,Buy 2 Save $1.50 Grizzly Wintergreen Pouch,PROMOTIONAL,UPC,042100005431,FIXED_AMOUNT_OFF,1.50,2,,1,TOBACCO_PROMO,false
SWISHER_REG_B2G1,Buy 2 Get 1 Swisher Sweet Cigarillo 2pk,PROMOTIONAL,UPC,025900207465,PROMO,,2,1,1,TOBACCO_PROMO,false
BLKMLD_WINE_B2G1,Buy 2 Get 1 Black and Mild Wine 1pk,PROMOTIONAL,UPC,070137105299,PROMO,,2,1,1,TOBACCO_PROMO,false
GRAND_OPEN_10,Grand Opening 10% Off Transaction,PROMOTIONAL,TRANSACTION,,PERCENT_OFF,10,,,3,STORE_EVENT,false
APP_COUPON_2OFF,App Coupon $2.00 Off Transaction,PROMOTIONAL,TRANSACTION,,FIXED_AMOUNT_OFF,2.00,,,3,STORE_EVENT,false
